annual_income,loan_amount,credit_score,employment_years,dti_ratio,age,num_credit_lines,savings_balance,loan_purpose,home_ownership,education,loan_to_income,savings_to_loan,approved
44700,70800,731,4,32.7,33,0,3080,education,own,high_school,1.584,0.044,0
58200,48800,755,3,28.7,49,3,64730,debt_consolidation,rent,graduate,0.838,1.326,1
71800,101700,725,13,29.7,40,3,1330,debt_consolidation,mortgage,graduate,1.416,0.013,1
47100,110000,659,1,49.0,65,4,1010,debt_consolidation,mortgage,high_school,2.335,0.009,0
66500,46500,764,8,21.8,60,4,14470,major_purchase,rent,some_college,0.699,0.311,1
40200,75400,610,3,42.9,44,4,1990,other,rent,bachelors,1.876,0.026,0
46000,136800,572,9,59.4,52,3,14810,debt_consolidation,rent,high_school,2.974,0.108,0
45600,224900,413,10,65.0,52,6,3730,education,mortgage,high_school,4.932,0.017,0
31600,100700,679,4,65.0,36,2,9350,major_purchase,mortgage,high_school,3.187,0.093,0
67400,61800,615,15,20.3,48,6,550,major_purchase,mortgage,some_college,0.917,0.009,1
43900,57700,718,6,29.7,57,4,9300,major_purchase,mortgage,high_school,1.314,0.161,1
54500,88400,517,21,36.8,24,7,6670,home_improvement,mortgage,high_school,1.622,0.075,1
67300,55200,629,13,25.6,44,4,3440,major_purchase,rent,high_school,0.82,0.062,1
66200,68400,724,7,26.7,41,3,870,medical,mortgage,bachelors,1.033,0.013,1
73100,28600,597,7,14.5,39,5,6660,major_purchase,rent,bachelors,0.391,0.233,1
51800,148400,719,2,53.4,38,6,13540,debt_consolidation,rent,bachelors,2.865,0.091,0
44800,27000,637,13,14.3,40,9,2340,home_improvement,rent,high_school,0.603,0.087,1
52300,44200,682,3,24.0,41,5,2400,major_purchase,other,graduate,0.845,0.054,1
25400,64100,735,7,51.4,50,3,14930,education,rent,graduate,2.524,0.233,0
28200,241300,765,21,65.0,43,3,53870,debt_consolidation,own,high_school,8.557,0.223,0
29900,44500,692,15,34.5,36,5,18310,debt_consolidation,rent,graduate,1.488,0.411,1
34600,37600,615,2,36.9,28,6,6780,debt_consolidation,other,some_college,1.087,0.18,0
64900,40700,646,6,17.3,32,3,3500,medical,own,high_school,0.627,0.086,1
36000,191200,739,8,65.0,40,2,4730,home_improvement,mortgage,some_college,5.311,0.025,0
45700,8400,598,16,16.6,30,4,770,debt_consolidation,mortgage,some_college,0.184,0.092,1
97200,29700,669,14,16.7,48,6,3960,major_purchase,mortgage,bachelors,0.306,0.133,1
46200,405100,652,9,65.0,42,1,23570,home_improvement,rent,some_college,8.768,0.058,0
75500,90500,676,9,30.1,50,6,5200,home_improvement,rent,bachelors,1.199,0.057,1
35600,27600,599,6,20.4,30,2,2050,home_improvement,own,bachelors,0.775,0.074,0
49400,58100,527,8,37.2,28,7,1800,major_purchase,own,high_school,1.176,0.031,0
35300,62800,729,5,41.7,50,4,4700,debt_consolidation,own,bachelors,1.779,0.075,1
46500,108300,766,11,49.1,39,1,870,debt_consolidation,rent,some_college,2.329,0.008,1
79100,217000,532,9,64.5,35,4,1380,major_purchase,own,high_school,2.743,0.006,0
24900,78600,716,13,63.4,45,7,42020,debt_consolidation,rent,some_college,3.157,0.535,0
65900,41000,777,13,21.4,45,7,1150,debt_consolidation,rent,bachelors,0.622,0.028,1
60300,103900,735,3,41.8,24,6,1600,debt_consolidation,mortgage,bachelors,1.723,0.015,0
41500,36700,649,0,25.3,53,8,7390,major_purchase,mortgage,bachelors,0.884,0.201,0
28300,29000,604,3,26.0,33,2,2650,medical,rent,high_school,1.025,0.091,0
56000,17500,691,8,17.0,56,2,5560,education,mortgage,bachelors,0.312,0.318,1
42700,20000,706,5,13.9,23,1,16450,debt_consolidation,mortgage,bachelors,0.468,0.822,1
60200,32000,693,5,22.0,41,11,560,debt_consolidation,mortgage,graduate,0.532,0.018,0
54700,26300,669,3,15.5,35,8,14130,other,mortgage,bachelors,0.481,0.537,1
111400,74600,592,8,25.4,45,4,2170,debt_consolidation,mortgage,high_school,0.67,0.029,0
48600,25900,720,1,21.8,34,4,3290,education,mortgage,graduate,0.533,0.127,1
34200,6600,725,9,13.7,50,4,72470,debt_consolidation,mortgage,bachelors,0.193,10.98,1
58700,28800,702,9,16.5,32,5,690,home_improvement,mortgage,high_school,0.491,0.024,1
59800,43000,694,13,25.4,28,8,11240,major_purchase,rent,bachelors,0.719,0.261,1
99900,39200,827,38,17.3,46,1,23840,home_improvement,mortgage,some_college,0.392,0.608,1
78900,173500,631,0,34.7,35,4,1890,home_improvement,own,bachelors,2.199,0.011,1
63600,39000,793,9,15.8,33,6,1930,debt_consolidation,rent,some_college,0.613,0.049,1
104700,110900,622,10,27.7,52,7,2930,debt_consolidation,mortgage,bachelors,1.059,0.026,1
31700,59100,779,3,42.7,25,6,1870,home_improvement,rent,high_school,1.864,0.032,1
40600,58100,789,5,36.6,32,1,5390,education,rent,bachelors,1.431,0.093,0
35700,33400,660,4,31.0,47,2,17150,home_improvement,mortgage,high_school,0.936,0.513,0
45500,57500,826,10,33.1,24,4,2960,home_improvement,mortgage,high_school,1.264,0.051,1
29200,35000,724,14,21.2,57,7,18030,other,other,high_school,1.199,0.515,1
72100,67400,610,2,25.6,35,5,34940,debt_consolidation,mortgage,some_college,0.935,0.518,1
49000,50700,653,8,31.5,47,5,8990,debt_consolidation,mortgage,bachelors,1.035,0.177,1
27900,30900,781,16,28.4,47,2,10260,debt_consolidation,own,some_college,1.108,0.332,1
34300,119900,763,3,65.0,36,6,2140,medical,rent,some_college,3.496,0.018,0
62400,80700,595,3,29.3,32,1,120,debt_consolidation,mortgage,bachelors,1.293,0.001,0
79000,43800,673,2,21.8,37,8,11160,debt_consolidation,rent,some_college,0.554,0.255,1
133100,66300,702,3,15.6,45,5,14990,debt_consolidation,mortgage,some_college,0.498,0.226,1
201000,56500,641,21,15.4,27,7,6900,debt_consolidation,mortgage,some_college,0.281,0.122,1
65300,32600,704,24,18.7,24,12,17570,home_improvement,mortgage,graduate,0.499,0.539,1
34700,62900,679,17,40.8,54,4,2280,debt_consolidation,mortgage,high_school,1.813,0.036,1
20800,38800,786,5,43.5,29,3,10160,home_improvement,mortgage,high_school,1.865,0.262,1
61100,30900,653,18,17.9,41,3,38600,home_improvement,rent,some_college,0.506,1.249,1
37600,19200,770,2,22.3,35,5,12480,debt_consolidation,rent,bachelors,0.511,0.65,0
44900,46600,543,11,29.4,36,1,32200,debt_consolidation,mortgage,high_school,1.038,0.691,0
41100,89000,646,4,51.1,53,6,32490,debt_consolidation,mortgage,bachelors,2.165,0.365,1
50900,36800,774,2,18.0,37,2,890,major_purchase,rent,some_college,0.723,0.024,1
87500,349600,818,8,65.0,34,2,13450,major_purchase,mortgage,bachelors,3.995,0.038,0
58100,111300,619,8,42.7,35,0,2030,debt_consolidation,rent,high_school,1.916,0.018,1
50400,149200,609,9,64.3,32,6,1040,debt_consolidation,own,bachelors,2.96,0.007,0
34000,104500,733,10,65.0,30,2,3290,debt_consolidation,rent,some_college,3.074,0.031,1
25500,219000,632,8,65.0,32,7,57290,education,mortgage,high_school,8.588,0.262,0
43500,34500,662,6,25.4,56,4,2300,other,mortgage,high_school,0.793,0.067,0
52900,10000,759,7,8.9,45,3,420,home_improvement,mortgage,some_college,0.189,0.042,1
120000,43800,638,11,17.3,34,1,650,other,mortgage,some_college,0.365,0.015,1
57400,88500,517,8,36.9,48,1,9600,debt_consolidation,mortgage,high_school,1.542,0.108,1
84300,66600,574,4,21.3,20,1,1700,major_purchase,mortgage,some_college,0.79,0.026,0
43300,72600,685,3,36.0,53,6,280,major_purchase,mortgage,some_college,1.677,0.004,1
31800,150900,526,6,65.0,52,1,690,home_improvement,mortgage,some_college,4.745,0.005,0
35100,78200,659,16,48.4,62,8,6210,medical,mortgage,high_school,2.228,0.079,0
39100,104700,566,10,52.0,49,8,14640,home_improvement,rent,some_college,2.678,0.14,0
141200,31000,824,16,14.4,42,5,2630,education,rent,graduate,0.22,0.085,1
37400,27800,595,5,26.0,52,3,12190,debt_consolidation,mortgage,some_college,0.743,0.438,0
79000,185300,706,7,53.7,31,3,17690,debt_consolidation,mortgage,bachelors,2.346,0.095,1
36100,64300,603,8,41.3,33,2,1640,debt_consolidation,mortgage,high_school,1.781,0.026,0
82400,38700,658,12,14.7,37,2,4150,debt_consolidation,rent,high_school,0.47,0.107,1
64400,38800,838,5,19.4,53,5,2120,debt_consolidation,rent,graduate,0.602,0.055,1
50500,38000,645,10,21.0,28,3,10450,debt_consolidation,rent,bachelors,0.752,0.275,1
53200,36500,660,15,20.8,27,5,2090,home_improvement,rent,bachelors,0.686,0.057,1
40300,24400,604,6,22.6,40,2,900,medical,rent,some_college,0.605,0.037,0
66200,20900,782,3,13.3,45,5,5290,home_improvement,own,bachelors,0.316,0.253,1
44100,52200,407,15,22.0,30,3,23260,debt_consolidation,mortgage,graduate,1.184,0.446,0
31200,39500,647,11,34.0,45,2,10040,debt_consolidation,rent,high_school,1.266,0.254,1
30500,130000,681,1,65.0,53,4,20120,home_improvement,own,high_school,4.262,0.155,0
58600,73500,628,6,31.2,51,3,17790,debt_consolidation,own,bachelors,1.254,0.242,1
110300,72100,758,22,15.1,41,7,5210,debt_consolidation,rent,high_school,0.654,0.072,1
58200,35600,787,9,15.7,37,2,2130,home_improvement,rent,some_college,0.612,0.06,1
51400,55000,564,6,24.4,57,6,1450,debt_consolidation,own,high_school,1.07,0.026,1
61600,77100,564,2,28.2,38,2,530,debt_consolidation,mortgage,some_college,1.252,0.007,0
97500,98800,794,2,24.3,48,5,25990,other,own,some_college,1.013,0.263,1
59800,56100,697,11,20.2,59,10,3090,major_purchase,own,high_school,0.938,0.055,1
45000,127400,642,3,65.0,47,6,450,other,mortgage,high_school,2.831,0.004,0
89100,60200,650,8,26.2,27,4,27670,major_purchase,rent,some_college,0.676,0.46,1
65700,104300,682,6,37.7,24,2,5610,debt_consolidation,mortgage,some_college,1.588,0.054,0
108100,42500,702,8,14.9,34,7,19050,major_purchase,rent,bachelors,0.393,0.448,1
58800,16800,606,5,20.4,45,2,3410,education,own,bachelors,0.286,0.203,1
31200,72200,665,9,56.1,42,4,1620,other,own,high_school,2.314,0.022,0
29300,99500,619,13,65.0,62,7,9170,home_improvement,mortgage,some_college,3.396,0.092,0
113900,89600,581,6,23.2,42,3,10300,debt_consolidation,rent,bachelors,0.787,0.115,1
117700,80500,615,12,19.6,34,5,3320,major_purchase,rent,bachelors,0.684,0.041,1
50000,46900,587,17,23.8,25,7,30910,debt_consolidation,mortgage,bachelors,0.938,0.659,1
45600,34000,649,8,20.8,50,4,18470,debt_consolidation,mortgage,graduate,0.746,0.543,1
104600,88100,721,11,22.8,37,5,10840,debt_consolidation,own,some_college,0.842,0.123,1
32900,80700,695,2,53.0,21,6,1040,debt_consolidation,own,high_school,2.453,0.013,0
36200,40400,497,6,29.0,38,6,850,home_improvement,own,high_school,1.116,0.021,0
72400,130200,724,1,46.1,27,7,26330,other,own,high_school,1.798,0.202,0
45400,32300,685,4,17.6,33,2,230,major_purchase,rent,bachelors,0.711,0.007,0
54100,39800,754,6,25.1,38,1,4330,major_purchase,rent,high_school,0.736,0.109,1
50300,188200,745,23,65.0,28,6,6030,medical,rent,graduate,3.742,0.032,1
63100,110000,670,3,40.3,32,2,2480,debt_consolidation,rent,bachelors,1.743,0.023,0
102100,46600,699,6,20.4,29,6,4680,home_improvement,rent,graduate,0.456,0.1,1
56400,73200,621,3,33.6,30,6,8850,major_purchase,mortgage,some_college,1.298,0.121,0
72400,66700,737,5,23.3,26,3,2160,debt_consolidation,own,high_school,0.921,0.032,1
21500,8800,525,9,16.5,32,2,16880,debt_consolidation,own,high_school,0.409,1.918,0
53000,31700,751,10,25.4,28,2,11110,major_purchase,own,bachelors,0.598,0.35,1
37100,57800,683,5,33.7,44,6,3820,medical,own,high_school,1.558,0.066,1
31300,46600,643,4,37.1,40,2,1550,debt_consolidation,own,bachelors,1.489,0.033,0
36500,71200,665,18,47.0,51,5,4330,major_purchase,rent,high_school,1.951,0.061,1
46600,132000,671,4,57.4,58,3,94370,major_purchase,mortgage,bachelors,2.833,0.715,1
81800,47800,795,0,25.5,45,6,1700,other,mortgage,some_college,0.584,0.036,1
29800,28600,788,15,33.6,42,3,41900,medical,mortgage,bachelors,0.96,1.465,1
54900,75200,636,1,37.0,46,7,420,debt_consolidation,mortgage,bachelors,1.37,0.006,0
43600,47600,738,15,32.0,43,5,1470,major_purchase,own,high_school,1.092,0.031,0
46700,53700,742,1,21.8,38,6,2300,other,mortgage,graduate,1.15,0.043,1
85100,48800,606,2,13.0,37,9,18560,debt_consolidation,rent,bachelors,0.573,0.38,0
69000,287600,577,2,65.0,26,5,5310,medical,rent,some_college,4.168,0.018,0
98900,12500,679,4,7.6,47,3,30760,home_improvement,rent,graduate,0.126,2.461,1
50500,45600,753,15,26.8,37,3,3080,home_improvement,mortgage,bachelors,0.903,0.068,1
39600,59700,547,2,23.7,53,6,4560,home_improvement,rent,high_school,1.508,0.076,0
49000,34700,623,9,23.2,48,6,3100,home_improvement,rent,high_school,0.708,0.089,1
60400,112400,733,8,40.8,31,6,83860,debt_consolidation,rent,graduate,1.861,0.746,0
58700,105800,688,7,38.3,51,6,1020,medical,mortgage,bachelors,1.802,0.01,0
33300,57900,805,13,46.9,59,7,2410,home_improvement,rent,some_college,1.739,0.042,1
56400,49500,565,7,22.6,23,1,1250,other,mortgage,high_school,0.878,0.025,1
60000,55400,554,8,18.2,43,1,10970,debt_consolidation,mortgage,some_college,0.923,0.198,0
168200,55600,512,11,15.8,42,5,990,medical,mortgage,high_school,0.331,0.018,1
126100,56700,679,4,17.6,50,7,63010,debt_consolidation,mortgage,high_school,0.45,1.111,1
36900,52500,588,6,32.9,34,4,5500,medical,rent,some_college,1.423,0.105,0
47600,71400,681,8,44.4,34,4,8750,education,rent,high_school,1.5,0.123,1
28000,101400,678,12,65.0,35,5,9400,medical,rent,bachelors,3.621,0.093,0
41500,25300,668,6,23.0,38,9,4780,major_purchase,mortgage,bachelors,0.61,0.189,0
62400,28700,613,6,17.6,26,5,5830,debt_consolidation,mortgage,bachelors,0.46,0.203,1
93200,17600,721,9,16.5,45,3,5530,other,mortgage,high_school,0.189,0.314,1
39000,109800,658,6,57.4,35,6,10170,debt_consolidation,rent,high_school,2.815,0.093,0
40400,71300,778,3,35.5,59,5,1550,debt_consolidation,own,bachelors,1.765,0.022,1
20600,85300,669,11,65.0,35,4,1230,debt_consolidation,rent,some_college,4.141,0.014,0
50400,22000,603,7,17.1,42,2,15510,medical,mortgage,high_school,0.437,0.705,0
33600,208900,541,5,65.0,35,2,4900,education,mortgage,bachelors,6.217,0.023,0
42700,39100,670,2,22.0,20,6,300,medical,own,some_college,0.916,0.008,0
36500,67400,577,1,43.2,35,4,2530,home_improvement,own,high_school,1.847,0.038,0
51900,108900,570,9,39.4,46,3,41850,major_purchase,rent,bachelors,2.098,0.384,0
24600,30000,729,3,28.0,44,5,3930,other,mortgage,some_college,1.22,0.131,1
28000,40800,533,1,31.4,34,4,2340,major_purchase,mortgage,some_college,1.457,0.057,0
141200,67900,805,3,18.6,21,7,610,debt_consolidation,own,bachelors,0.481,0.009,1
30400,442500,698,8,65.0,45,4,2220,other,rent,high_school,14.556,0.005,0
33100,73900,681,3,42.7,42,7,960,other,mortgage,some_college,2.233,0.013,1
123800,184300,597,8,32.5,47,7,8960,major_purchase,mortgage,high_school,1.489,0.049,1
200200,139200,749,4,22.9,34,6,5270,home_improvement,rent,graduate,0.695,0.038,1
32000,77500,684,6,52.1,19,3,2950,other,own,some_college,2.422,0.038,0
45900,30000,626,7,16.8,43,5,1690,medical,rent,graduate,0.654,0.056,1
63200,125700,701,11,47.2,37,8,41650,debt_consolidation,rent,some_college,1.989,0.331,0
117900,21000,541,11,17.5,53,4,1830,other,mortgage,bachelors,0.178,0.087,1
34700,183600,545,6,65.0,38,2,1840,major_purchase,mortgage,bachelors,5.291,0.01,0
48500,68900,589,3,24.3,37,3,3500,medical,mortgage,high_school,1.421,0.051,0
76900,9400,714,14,11.1,42,2,4250,home_improvement,rent,bachelors,0.122,0.452,1
65900,47200,684,4,20.3,31,5,9650,debt_consolidation,mortgage,high_school,0.716,0.204,1
45700,94600,774,0,37.1,30,4,18080,debt_consolidation,rent,high_school,2.07,0.191,1
51000,50700,606,8,20.7,36,5,16280,debt_consolidation,rent,some_college,0.994,0.321,0
29200,98800,733,8,65.0,27,6,147540,home_improvement,mortgage,bachelors,3.384,1.493,0
48700,33000,675,5,20.9,35,3,460,major_purchase,mortgage,high_school,0.678,0.014,1
48100,24000,604,1,17.3,59,6,6790,home_improvement,mortgage,bachelors,0.499,0.283,1
60100,57000,717,1,22.5,49,4,2370,debt_consolidation,mortgage,bachelors,0.948,0.042,0
42200,61200,679,5,38.4,41,3,81930,debt_consolidation,rent,some_college,1.45,1.339,0
67000,46900,631,2,15.7,55,5,6280,medical,rent,high_school,0.7,0.134,1
85500,141400,688,12,34.2,28,5,290,medical,rent,bachelors,1.654,0.002,1
58100,33000,673,5,17.0,65,2,9030,debt_consolidation,mortgage,high_school,0.568,0.274,1
63500,74500,671,4,23.0,32,4,7140,debt_consolidation,mortgage,high_school,1.173,0.096,0
55500,62800,649,21,24.8,60,5,14200,debt_consolidation,mortgage,high_school,1.132,0.226,1
54200,20100,574,0,18.9,59,0,1780,major_purchase,other,high_school,0.371,0.089,0
39200,23800,691,6,15.6,18,5,7780,medical,rent,bachelors,0.607,0.327,1
62500,60400,616,1,28.5,54,3,3370,medical,own,some_college,0.966,0.056,1
51900,239600,598,15,65.0,34,6,1920,education,other,graduate,4.617,0.008,0
139000,89800,664,1,19.0,31,7,7940,medical,mortgage,bachelors,0.646,0.088,1
110000,17900,747,8,5.3,43,2,6090,home_improvement,rent,graduate,0.163,0.34,1
64400,6800,700,7,10.2,26,6,21380,debt_consolidation,rent,bachelors,0.106,3.144,1
38400,100000,639,1,46.4,43,4,5100,debt_consolidation,rent,high_school,2.604,0.051,0
32800,56000,636,8,36.6,27,0,11450,debt_consolidation,rent,high_school,1.707,0.204,0
92600,133100,739,4,34.8,39,2,910,debt_consolidation,rent,high_school,1.437,0.007,1
61000,32300,481,10,21.0,52,2,34620,debt_consolidation,own,bachelors,0.53,1.072,1
67200,76500,752,4,27.9,42,4,1660,debt_consolidation,rent,bachelors,1.138,0.022,1
24700,108300,525,8,65.0,34,5,17400,debt_consolidation,rent,high_school,4.385,0.161,0
82200,43800,564,6,14.8,43,3,7100,education,mortgage,bachelors,0.533,0.162,1
66500,44400,641,8,18.1,22,12,5950,home_improvement,rent,high_school,0.668,0.134,0
32900,60900,827,10,43.8,28,6,14250,debt_consolidation,rent,bachelors,1.851,0.234,1
43800,87500,745,5,45.4,33,2,250,debt_consolidation,mortgage,some_college,1.998,0.003,1
61000,59300,715,4,25.4,46,4,2200,major_purchase,mortgage,high_school,0.972,0.037,0
55500,118400,526,9,48.9,42,6,13970,other,mortgage,some_college,2.133,0.118,0
47500,43300,698,4,24.4,43,5,72470,debt_consolidation,mortgage,graduate,0.912,1.674,1
51700,23600,638,5,10.9,37,7,4750,education,mortgage,bachelors,0.456,0.201,1
48400,238900,615,18,65.0,29,8,160,other,rent,some_college,4.936,0.001,0
58000,39200,698,6,22.6,54,2,3150,medical,own,some_college,0.676,0.08,1
105000,40200,644,11,9.4,30,4,4520,major_purchase,mortgage,some_college,0.383,0.112,1
17100,57200,758,3,65.0,42,2,23230,debt_consolidation,mortgage,high_school,3.345,0.406,1
48700,62800,520,8,30.8,36,5,5260,debt_consolidation,rent,bachelors,1.29,0.084,0
58700,45700,691,5,17.9,44,7,820,medical,rent,high_school,0.779,0.018,1
61900,59100,610,5,18.5,31,3,18940,other,own,some_college,0.955,0.32,0
45800,58200,650,1,26.2,49,3,10890,major_purchase,mortgage,high_school,1.271,0.187,1
24600,67700,710,2,50.3,53,3,1850,debt_consolidation,rent,bachelors,2.752,0.027,0
62800,11500,590,22,13.7,48,8,13460,debt_consolidation,mortgage,high_school,0.183,1.17,0
117900,223400,698,6,43.7,39,5,2290,debt_consolidation,rent,some_college,1.895,0.01,1
27200,54000,666,6,40.7,33,8,3240,other,own,some_college,1.985,0.06,0
79900,89900,628,12,22.8,69,3,2340,debt_consolidation,mortgage,bachelors,1.125,0.026,1
46700,22800,645,8,21.5,27,4,3180,debt_consolidation,rent,graduate,0.488,0.139,1
52700,43100,671,5,24.5,47,2,17490,home_improvement,mortgage,high_school,0.818,0.406,0
33700,37400,619,5,25.5,41,5,400,debt_consolidation,rent,high_school,1.11,0.011,0
46600,167500,685,2,65.0,37,2,23060,debt_consolidation,other,bachelors,3.594,0.138,1
97200,39700,661,9,15.9,40,5,6290,debt_consolidation,mortgage,high_school,0.408,0.158,1
