loan_amnt,term_months,int_rate,installment,annual_inc,dti,fico_range_low,open_acc,revol_util,total_acc,grade,home_ownership,purpose,verification_status,emp_length,loan_to_income,installment_to_income,defaulted
9600.0,36.0,7.49,298.58,60000.0,22.44,695.0,7.0,59.4,9.0,A,MORTGAGE,credit_card,Not Verified,8,0.16,0.0597,0
25000.0,36.0,7.49,777.55,109000.0,26.02,745.0,9.0,54.3,19.0,A,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.2294,0.0856,0
18000.0,60.0,11.99,400.31,112000.0,8.68,800.0,17.0,15.5,27.0,C,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.1607,0.0429,0
8650.0,36.0,19.89,320.99,55000.0,25.49,675.0,18.0,46.0,19.0,E,RENT,debt_consolidation,Verified,8,0.1573,0.07,0
29900.0,60.0,12.88,678.49,65000.0,21.77,715.0,15.0,46.7,31.0,C,MORTGAGE,debt_consolidation,Verified,10_plus,0.46,0.1253,0
16000.0,60.0,14.85,379.39,48000.0,33.18,685.0,11.0,29.6,19.0,C,MORTGAGE,credit_card,Not Verified,10_plus,0.3333,0.0948,0
28000.0,36.0,13.44,949.38,125000.0,7.49,695.0,6.0,63.1,22.0,C,OWN,debt_consolidation,Source Verified,2,0.224,0.0911,0
5000.0,36.0,13.44,169.54,79000.0,12.7,665.0,3.0,101.5,5.0,C,RENT,credit_card,Verified,2,0.0633,0.0258,0
6000.0,36.0,7.49,186.61,100000.0,13.28,695.0,9.0,72.0,16.0,A,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.06,0.0224,0
4225.0,36.0,14.85,146.16,35000.0,15.22,725.0,6.0,24.6,6.0,C,RENT,debt_consolidation,Source Verified,5,0.1207,0.0501,1
20000.0,36.0,5.32,602.3,65000.0,18.83,835.0,12.0,3.0,17.0,A,OWN,debt_consolidation,Not Verified,9,0.3077,0.1112,0
16000.0,60.0,17.97,406.04,109000.0,23.35,680.0,11.0,87.6,33.0,D,MORTGAGE,debt_consolidation,Source Verified,lt_1,0.1468,0.0447,0
17600.0,36.0,5.32,530.03,88000.0,26.59,780.0,20.0,34.4,42.0,A,MORTGAGE,credit_card,Source Verified,lt_1,0.2,0.0723,0
15000.0,36.0,5.32,451.73,44000.0,15.34,685.0,7.0,50.3,21.0,A,MORTGAGE,home_improvement,Source Verified,10_plus,0.3409,0.1232,0
16000.0,36.0,12.88,538.18,65000.0,18.96,675.0,7.0,54.3,20.0,C,MORTGAGE,small_business,Not Verified,10_plus,0.2462,0.0994,1
24250.0,60.0,24.24,701.01,75000.0,20.84,660.0,18.0,65.3,21.0,F,MORTGAGE,debt_consolidation,Not Verified,4,0.3233,0.1122,1
12000.0,36.0,10.78,391.62,98000.0,24.04,690.0,15.0,62.8,39.0,B,RENT,debt_consolidation,Not Verified,1,0.1224,0.048,0
25000.0,60.0,13.99,581.58,79000.0,34.53,730.0,33.0,18.6,72.0,C,MORTGAGE,debt_consolidation,Not Verified,9,0.3165,0.0883,1
7000.0,36.0,7.49,217.72,59000.0,13.06,730.0,10.0,24.2,34.0,A,MORTGAGE,credit_card,Not Verified,10_plus,0.1186,0.0443,0
21000.0,60.0,13.99,488.53,52000.0,14.47,680.0,5.0,87.4,15.0,C,RENT,credit_card,Source Verified,lt_1,0.4038,0.1127,0
27500.0,60.0,14.85,652.06,195000.0,6.79,700.0,14.0,50.9,19.0,C,MORTGAGE,other,Not Verified,10_plus,0.141,0.0401,0
7200.0,36.0,11.48,237.36,72500.0,8.47,725.0,5.0,35.2,7.0,B,MORTGAGE,home_improvement,Verified,10_plus,0.0993,0.0393,0
20000.0,36.0,14.85,691.84,110000.0,12.45,690.0,8.0,84.5,12.0,C,RENT,credit_card,Not Verified,6,0.1818,0.0755,0
20000.0,36.0,15.77,700.88,70000.0,22.21,680.0,24.0,36.6,63.0,D,RENT,house,Not Verified,5,0.2857,0.1202,0
10000.0,60.0,17.97,253.78,55000.0,35.7,685.0,14.0,78.0,28.0,D,MORTGAGE,credit_card,Not Verified,2,0.1818,0.0554,1
20000.0,36.0,9.8,643.47,75000.0,23.45,725.0,14.0,9.6,26.0,B,RENT,debt_consolidation,Not Verified,5,0.2667,0.103,0
8650.0,36.0,5.32,260.5,100000.0,7.28,750.0,15.0,26.7,24.0,A,MORTGAGE,credit_card,Not Verified,lt_1,0.0865,0.0313,0
21000.0,60.0,13.44,482.56,54649.0,12.14,670.0,9.0,26.8,44.0,C,RENT,debt_consolidation,Source Verified,2,0.3843,0.106,0
7200.0,36.0,15.77,252.32,55000.0,17.35,680.0,24.0,69.0,43.0,D,RENT,debt_consolidation,Not Verified,lt_1,0.1309,0.0551,0
8800.0,36.0,9.8,283.13,92000.0,5.18,665.0,9.0,76.6,24.0,B,MORTGAGE,credit_card,Source Verified,10_plus,0.0957,0.0369,0
2500.0,36.0,17.27,89.47,50000.0,17.6,670.0,7.0,31.1,22.0,D,MORTGAGE,other,Verified,10_plus,0.05,0.0215,0
11000.0,36.0,9.17,350.67,69000.0,21.34,680.0,9.0,84.8,18.0,B,MORTGAGE,credit_card,Not Verified,10_plus,0.1594,0.061,0
10000.0,36.0,12.88,336.37,91392.0,9.44,710.0,13.0,41.7,33.0,C,MORTGAGE,house,Not Verified,4,0.1094,0.0442,0
28000.0,60.0,18.49,718.51,75000.0,31.88,685.0,27.0,51.9,46.0,D,MORTGAGE,debt_consolidation,Verified,10_plus,0.3733,0.115,0
35000.0,60.0,11.99,778.38,128000.0,6.46,685.0,17.0,27.4,46.0,C,MORTGAGE,home_improvement,Source Verified,10_plus,0.2734,0.073,0
7200.0,36.0,9.17,229.53,50000.0,19.25,675.0,13.0,47.6,25.0,B,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.144,0.0551,0
10000.0,36.0,7.91,312.95,40100.0,10.81,680.0,4.0,45.0,7.0,A,RENT,credit_card,Not Verified,2,0.2494,0.0937,0
16000.0,60.0,13.44,367.67,42000.0,9.6,670.0,29.0,44.8,48.0,C,RENT,credit_card,Not Verified,1,0.381,0.105,1
21875.0,36.0,11.99,726.46,47590.0,17.76,700.0,9.0,57.1,14.0,C,RENT,credit_card,Source Verified,lt_1,0.4597,0.1832,0
14025.0,60.0,18.49,359.9,39000.0,18.0,675.0,12.0,74.9,21.0,D,MORTGAGE,debt_consolidation,Verified,10_plus,0.3596,0.1107,0
35000.0,60.0,12.88,794.21,106000.0,17.36,730.0,8.0,72.1,27.0,C,MORTGAGE,debt_consolidation,Source Verified,7,0.3302,0.0899,1
20000.0,36.0,12.88,672.73,145000.0,12.28,695.0,12.0,80.2,21.0,C,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.1379,0.0557,0
14000.0,60.0,14.85,331.96,60000.0,24.29,690.0,11.0,73.9,24.0,C,MORTGAGE,debt_consolidation,Not Verified,2,0.2333,0.0664,1
20000.0,60.0,13.99,465.27,70000.0,16.9,680.0,20.0,42.0,35.0,C,OWN,debt_consolidation,Source Verified,10_plus,0.2857,0.0798,1
4200.0,36.0,13.44,142.41,102500.0,26.21,700.0,14.0,88.5,37.0,C,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.041,0.0167,0
19000.0,60.0,14.85,450.52,75000.0,13.09,665.0,15.0,63.7,34.0,C,OWN,credit_card,Not Verified,9,0.2533,0.0721,0
15850.0,60.0,23.13,448.01,45000.0,34.85,755.0,18.0,21.3,24.0,F,OWN,debt_consolidation,Not Verified,10_plus,0.3522,0.1195,0
30000.0,36.0,15.77,1051.31,175000.0,18.5,725.0,9.0,50.3,23.0,D,MORTGAGE,home_improvement,Not Verified,2,0.1714,0.0721,0
1500.0,36.0,6.49,45.97,45000.0,16.11,745.0,12.0,21.2,37.0,A,MORTGAGE,vacation,Not Verified,unknown,0.0333,0.0123,0
25000.0,36.0,5.32,752.87,150000.0,9.54,795.0,7.0,42.5,18.0,A,MORTGAGE,credit_card,Not Verified,1,0.1667,0.0602,0
20200.0,60.0,18.49,518.35,60000.0,34.84,720.0,10.0,40.6,16.0,D,RENT,debt_consolidation,Source Verified,4,0.3367,0.1037,1
23975.0,60.0,19.89,633.73,70000.0,33.2,685.0,10.0,94.9,19.0,E,RENT,credit_card,Not Verified,10_plus,0.3425,0.1086,1
15000.0,60.0,10.78,324.5,65000.0,29.28,720.0,18.0,69.8,32.0,B,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.2308,0.0599,0
10000.0,36.0,10.78,326.35,41600.0,15.78,695.0,18.0,52.5,33.0,B,MORTGAGE,debt_consolidation,Not Verified,3,0.2404,0.0941,0
15000.0,36.0,8.49,473.45,110000.0,13.24,670.0,16.0,41.4,33.0,B,MORTGAGE,credit_card,Not Verified,6,0.1364,0.0516,0
23100.0,60.0,20.5,618.46,110000.0,20.43,660.0,11.0,94.9,24.0,E,OWN,car,Not Verified,2,0.21,0.0675,1
27300.0,36.0,17.27,977.0,65000.0,25.63,660.0,14.0,83.0,38.0,D,MORTGAGE,home_improvement,Not Verified,10_plus,0.42,0.1804,1
25000.0,60.0,11.48,549.57,135000.0,4.65,705.0,16.0,13.5,33.0,B,MORTGAGE,credit_card,Not Verified,10_plus,0.1852,0.0489,0
15000.0,36.0,10.78,489.52,40000.0,10.17,670.0,7.0,75.3,9.0,B,RENT,credit_card,Verified,1,0.375,0.1469,0
10000.0,60.0,16.59,246.33,30000.0,30.84,715.0,19.0,26.6,36.0,D,RENT,debt_consolidation,Source Verified,lt_1,0.3333,0.0985,0
18500.0,60.0,12.88,419.8,70000.0,13.2,675.0,9.0,57.8,19.0,C,MORTGAGE,debt_consolidation,Source Verified,10_plus,0.2643,0.072,0
5000.0,36.0,7.91,156.48,32000.0,13.73,685.0,7.0,41.1,10.0,A,RENT,credit_card,Source Verified,6,0.1562,0.0587,0
9000.0,36.0,9.17,286.92,50000.0,11.98,800.0,5.0,48.5,11.0,B,OWN,debt_consolidation,Not Verified,1,0.18,0.0689,0
11000.0,36.0,6.49,337.09,85000.0,15.0,755.0,12.0,20.1,31.0,A,MORTGAGE,credit_card,Not Verified,10_plus,0.1294,0.0476,0
20000.0,36.0,6.49,612.89,55000.0,29.15,750.0,9.0,23.8,23.0,A,MORTGAGE,debt_consolidation,Not Verified,6,0.3636,0.1337,0
15000.0,36.0,5.32,451.73,80000.0,20.18,775.0,30.0,21.4,47.0,A,RENT,debt_consolidation,Not Verified,unknown,0.1875,0.0678,0
12000.0,36.0,5.32,361.38,53750.0,15.3,700.0,8.0,17.2,19.0,A,MORTGAGE,debt_consolidation,Source Verified,4,0.2233,0.0807,0
8000.0,36.0,10.78,261.08,45000.0,21.23,670.0,28.0,35.5,69.0,B,MORTGAGE,debt_consolidation,Not Verified,lt_1,0.1778,0.0696,0
12000.0,36.0,10.78,391.62,40000.0,31.95,665.0,16.0,41.4,22.0,B,RENT,credit_card,Not Verified,3,0.3,0.1175,0
18000.0,36.0,7.49,559.83,75000.0,25.65,715.0,12.0,33.2,47.0,A,MORTGAGE,debt_consolidation,Not Verified,5,0.24,0.0896,0
3600.0,36.0,11.48,118.68,85000.0,17.44,675.0,12.0,28.7,23.0,B,MORTGAGE,debt_consolidation,Source Verified,lt_1,0.0424,0.0168,0
7200.0,36.0,17.27,257.67,20000.0,13.21,705.0,8.0,32.6,17.0,D,OWN,debt_consolidation,Verified,9,0.36,0.1546,1
15000.0,60.0,13.44,344.69,77213.0,18.17,670.0,17.0,25.8,44.0,C,RENT,credit_card,Source Verified,4,0.1943,0.0536,0
5000.0,36.0,9.8,160.87,72000.0,6.52,710.0,11.0,56.3,20.0,B,OWN,other,Not Verified,6,0.0694,0.0268,0
11550.0,60.0,16.59,284.51,38000.0,21.07,700.0,9.0,39.7,12.0,D,RENT,credit_card,Not Verified,5,0.3039,0.0898,1
33600.0,36.0,10.78,1096.53,104000.0,14.01,690.0,14.0,51.8,31.0,B,RENT,debt_consolidation,Source Verified,8,0.3231,0.1265,0
17475.0,36.0,13.99,597.17,39750.0,23.58,695.0,7.0,52.3,13.0,C,RENT,debt_consolidation,Not Verified,2,0.4396,0.1803,1
9000.0,36.0,8.49,284.07,47000.0,8.43,675.0,12.0,26.7,22.0,B,MORTGAGE,debt_consolidation,Not Verified,8,0.1915,0.0725,0
12000.0,60.0,9.8,253.79,65000.0,23.84,785.0,18.0,13.4,37.0,B,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.1846,0.0469,0
4000.0,36.0,9.17,127.52,44500.0,15.83,670.0,4.0,4.2,24.0,B,RENT,debt_consolidation,Verified,2,0.0899,0.0344,0
10500.0,36.0,15.77,367.96,70100.0,8.51,660.0,5.0,77.4,10.0,D,RENT,credit_card,Source Verified,3,0.1498,0.063,0
14000.0,36.0,9.8,450.43,100000.0,15.97,685.0,7.0,36.1,14.0,B,MORTGAGE,medical,Not Verified,4,0.14,0.0541,0
6000.0,36.0,7.91,187.77,105000.0,14.45,685.0,9.0,65.3,11.0,A,MORTGAGE,car,Not Verified,10_plus,0.0571,0.0215,0
15000.0,36.0,9.8,482.61,92000.0,13.89,680.0,7.0,35.2,31.0,B,MORTGAGE,debt_consolidation,Not Verified,3,0.163,0.0629,0
12000.0,36.0,9.17,382.55,39400.0,26.32,705.0,18.0,34.6,25.0,B,MORTGAGE,debt_consolidation,Not Verified,4,0.3046,0.1165,0
10000.0,36.0,11.48,329.67,33000.0,21.75,710.0,12.0,35.6,20.0,B,RENT,debt_consolidation,Not Verified,2,0.303,0.1199,0
4200.0,36.0,13.99,143.53,32000.0,31.02,705.0,10.0,11.7,16.0,C,RENT,other,Source Verified,2,0.1312,0.0538,0
35000.0,60.0,20.5,937.06,120000.0,35.69,700.0,25.0,32.2,54.0,E,MORTGAGE,debt_consolidation,Source Verified,8,0.2917,0.0937,0
5475.0,36.0,18.99,200.67,108000.0,33.47,670.0,11.0,41.0,27.0,E,MORTGAGE,debt_consolidation,Verified,10_plus,0.0507,0.0223,1
6000.0,36.0,13.44,203.44,38700.0,23.26,690.0,4.0,19.2,10.0,C,OWN,debt_consolidation,Source Verified,3,0.155,0.0631,0
24000.0,36.0,9.17,765.1,75000.0,10.11,660.0,14.0,39.5,25.0,B,MORTGAGE,debt_consolidation,Source Verified,10_plus,0.32,0.1224,0
10000.0,36.0,12.88,336.37,60000.0,3.3,715.0,5.0,64.1,42.0,C,RENT,debt_consolidation,Verified,lt_1,0.1667,0.0673,0
6900.0,36.0,19.89,256.05,80000.0,9.57,665.0,10.0,35.9,16.0,E,RENT,debt_consolidation,Source Verified,10_plus,0.0862,0.0384,0
15975.0,36.0,16.59,566.3,58800.0,20.45,665.0,11.0,71.8,23.0,D,MORTGAGE,debt_consolidation,Not Verified,4,0.2717,0.1156,0
21600.0,36.0,13.44,732.38,54000.0,17.64,690.0,9.0,60.8,30.0,C,MORTGAGE,debt_consolidation,Verified,9,0.4,0.1628,0
14400.0,60.0,19.48,377.36,73320.0,17.02,660.0,9.0,96.8,19.0,E,RENT,debt_consolidation,Source Verified,3,0.1964,0.0618,1
8000.0,36.0,13.99,273.39,42000.0,23.26,705.0,8.0,40.5,10.0,C,RENT,other,Not Verified,lt_1,0.1905,0.0781,0
7000.0,36.0,13.99,239.21,83000.0,21.96,680.0,11.0,83.1,28.0,C,RENT,debt_consolidation,Source Verified,2,0.0843,0.0346,0
20000.0,36.0,10.78,652.7,55000.0,36.94,740.0,18.0,43.0,32.0,B,OWN,debt_consolidation,Not Verified,lt_1,0.3636,0.1424,0
25825.0,60.0,26.06,774.14,68000.0,31.68,675.0,18.0,69.7,33.0,F,RENT,debt_consolidation,Verified,6,0.3798,0.1366,1
24575.0,60.0,22.45,685.04,92000.0,24.16,725.0,8.0,79.3,27.0,F,MORTGAGE,debt_consolidation,Verified,10_plus,0.2671,0.0894,0
3200.0,36.0,8.49,101.01,30407.0,20.61,710.0,5.0,30.3,13.0,B,RENT,medical,Not Verified,10_plus,0.1052,0.0399,0
22875.0,60.0,15.77,553.49,137000.0,32.3,700.0,22.0,45.8,62.0,D,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.167,0.0485,0
35000.0,36.0,13.44,1186.72,125000.0,24.19,710.0,15.0,51.9,26.0,C,MORTGAGE,debt_consolidation,Source Verified,lt_1,0.28,0.1139,0
2400.0,36.0,17.27,85.89,52000.0,28.38,670.0,16.0,41.5,18.0,D,MORTGAGE,home_improvement,Verified,2,0.0462,0.0198,0
25000.0,36.0,7.49,777.55,132000.0,13.83,745.0,14.0,48.0,32.0,A,MORTGAGE,debt_consolidation,Not Verified,unknown,0.1894,0.0707,0
8800.0,36.0,12.88,296.0,55000.0,35.52,715.0,20.0,37.5,29.0,C,RENT,credit_card,Not Verified,2,0.16,0.0646,0
2500.0,36.0,11.48,82.42,16488.0,38.06,770.0,12.0,8.2,18.0,B,RENT,debt_consolidation,Not Verified,unknown,0.1516,0.06,0
8000.0,36.0,5.32,240.92,50000.0,14.86,715.0,21.0,35.1,64.0,A,RENT,credit_card,Not Verified,1,0.16,0.0578,0
20000.0,36.0,11.99,664.2,78000.0,27.1,705.0,15.0,48.2,37.0,C,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.2564,0.1022,1
35000.0,60.0,12.88,794.21,110000.0,13.39,695.0,19.0,47.2,32.0,C,MORTGAGE,major_purchase,Source Verified,10_plus,0.3182,0.0866,1
15000.0,36.0,7.49,466.53,45000.0,10.67,710.0,10.0,43.5,20.0,A,MORTGAGE,debt_consolidation,Verified,unknown,0.3333,0.1244,0
16000.0,36.0,15.77,560.7,70000.0,8.78,705.0,7.0,76.1,25.0,D,MORTGAGE,debt_consolidation,Not Verified,1,0.2286,0.0961,1
10800.0,60.0,13.99,251.25,40000.0,26.13,665.0,7.0,71.2,14.0,C,RENT,debt_consolidation,Source Verified,3,0.27,0.0754,0
7500.0,36.0,17.97,271.04,15000.0,37.2,685.0,8.0,66.7,14.0,D,OWN,debt_consolidation,Source Verified,10_plus,0.5,0.2168,0
16000.0,36.0,10.78,522.16,63000.0,35.19,670.0,12.0,46.0,22.0,B,RENT,debt_consolidation,Not Verified,5,0.254,0.0995,1
9000.0,36.0,5.32,271.04,49000.0,21.63,755.0,18.0,11.7,29.0,A,MORTGAGE,credit_card,Not Verified,10_plus,0.1837,0.0664,0
9500.0,36.0,15.77,332.92,28000.0,27.95,695.0,7.0,55.9,14.0,D,RENT,other,Not Verified,10_plus,0.3393,0.1427,0
10000.0,36.0,7.91,312.95,25000.0,29.91,740.0,16.0,22.9,30.0,A,OWN,debt_consolidation,Not Verified,2,0.4,0.1502,1
6000.0,36.0,7.91,187.77,49000.0,17.92,795.0,10.0,4.4,16.0,A,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.1224,0.046,0
15600.0,60.0,13.44,358.48,52000.0,15.37,720.0,6.0,69.3,13.0,C,MORTGAGE,major_purchase,Not Verified,10_plus,0.3,0.0827,0
35000.0,36.0,8.49,1104.71,90000.0,13.36,750.0,11.0,42.9,26.0,B,OWN,debt_consolidation,Source Verified,lt_1,0.3889,0.1473,0
5000.0,36.0,11.48,164.84,78000.0,21.21,700.0,19.0,54.3,21.0,B,MORTGAGE,debt_consolidation,Not Verified,9,0.0641,0.0254,0
20400.0,60.0,18.49,523.48,75000.0,38.65,725.0,22.0,42.6,49.0,D,MORTGAGE,credit_card,Source Verified,2,0.272,0.0838,0
8000.0,36.0,17.97,289.1,33130.0,11.52,665.0,18.0,27.4,26.0,D,MORTGAGE,debt_consolidation,Not Verified,unknown,0.2415,0.1047,1
16000.0,36.0,10.78,522.16,87500.0,13.74,695.0,13.0,83.9,17.0,B,RENT,debt_consolidation,Not Verified,3,0.1829,0.0716,0
18000.0,36.0,7.91,563.31,80000.0,15.56,740.0,5.0,82.6,6.0,A,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.225,0.0845,1
35000.0,36.0,9.17,1115.77,105000.0,25.07,690.0,11.0,85.0,26.0,B,RENT,debt_consolidation,Source Verified,1,0.3333,0.1275,0
13150.0,36.0,5.32,396.01,40000.0,20.25,765.0,13.0,20.1,17.0,A,RENT,major_purchase,Not Verified,1,0.3288,0.1188,0
5600.0,36.0,9.17,178.53,48000.0,19.85,660.0,8.0,64.8,68.0,B,RENT,credit_card,Source Verified,8,0.1167,0.0446,0
23000.0,36.0,9.8,739.99,90247.0,17.09,680.0,11.0,41.3,25.0,B,MORTGAGE,credit_card,Not Verified,9,0.2549,0.0984,0
12600.0,60.0,14.85,298.77,175000.0,11.75,690.0,14.0,47.5,25.0,C,MORTGAGE,credit_card,Not Verified,1,0.072,0.0205,0
11000.0,36.0,16.59,389.94,55000.0,16.85,735.0,6.0,61.1,14.0,D,MORTGAGE,debt_consolidation,Source Verified,8,0.2,0.0851,0
4000.0,36.0,11.99,132.84,41501.0,12.9,685.0,8.0,36.3,12.0,C,RENT,debt_consolidation,Source Verified,3,0.0964,0.0384,0
20000.0,36.0,11.48,659.33,60000.0,22.62,685.0,10.0,61.5,20.0,B,RENT,debt_consolidation,Not Verified,5,0.3333,0.1319,0
10000.0,36.0,9.17,318.79,59307.0,32.7,690.0,17.0,59.5,30.0,B,MORTGAGE,credit_card,Not Verified,10_plus,0.1686,0.0645,0
18850.0,36.0,21.48,714.83,55000.0,15.56,700.0,11.0,38.4,26.0,E,MORTGAGE,debt_consolidation,Not Verified,lt_1,0.3427,0.156,1
21000.0,60.0,11.99,467.03,82000.0,15.07,730.0,18.0,35.0,34.0,C,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.2561,0.0683,0
10500.0,36.0,8.49,331.42,60000.0,15.39,685.0,13.0,62.6,19.0,B,MORTGAGE,debt_consolidation,Not Verified,4,0.175,0.0663,0
4575.0,36.0,17.27,163.73,56000.0,10.03,665.0,12.0,27.0,17.0,D,RENT,house,Not Verified,5,0.0817,0.0351,1
5000.0,36.0,11.48,164.84,17000.0,27.9,690.0,8.0,44.3,11.0,B,RENT,other,Source Verified,1,0.2941,0.1164,0
8000.0,36.0,6.99,246.99,45000.0,15.15,790.0,12.0,23.7,26.0,A,MORTGAGE,home_improvement,Not Verified,unknown,0.1778,0.0659,0
5000.0,36.0,11.99,166.05,30000.0,9.16,675.0,12.0,28.3,15.0,C,RENT,debt_consolidation,Source Verified,1,0.1667,0.0664,1
9075.0,36.0,5.32,273.3,40000.0,8.39,815.0,15.0,16.3,26.0,A,MORTGAGE,credit_card,Not Verified,10_plus,0.2269,0.082,0
12500.0,36.0,7.49,388.78,52000.0,6.83,705.0,5.0,80.7,7.0,A,RENT,credit_card,Not Verified,10_plus,0.2404,0.0897,0
19600.0,60.0,15.77,474.25,80000.0,18.99,710.0,15.0,81.1,26.0,D,MORTGAGE,debt_consolidation,Source Verified,8,0.245,0.0711,1
35000.0,36.0,13.99,1196.05,90000.0,10.97,740.0,5.0,12.3,7.0,C,MORTGAGE,debt_consolidation,Source Verified,2,0.3889,0.1595,0
28000.0,60.0,8.49,574.33,75000.0,24.83,685.0,16.0,72.0,23.0,B,MORTGAGE,debt_consolidation,Not Verified,1,0.3733,0.0919,0
14000.0,60.0,15.77,338.75,45500.0,19.24,690.0,10.0,25.9,12.0,D,RENT,debt_consolidation,Not Verified,1,0.3077,0.0893,1
16000.0,36.0,9.8,514.78,99906.0,6.97,660.0,10.0,69.8,26.0,B,MORTGAGE,credit_card,Not Verified,unknown,0.1602,0.0618,0
14000.0,36.0,5.32,421.61,120000.0,6.73,775.0,13.0,16.9,20.0,A,RENT,debt_consolidation,Not Verified,4,0.1167,0.0422,0
24000.0,36.0,8.49,757.51,72000.0,22.8,715.0,16.0,34.3,52.0,B,MORTGAGE,debt_consolidation,Not Verified,8,0.3333,0.1263,0
35000.0,36.0,13.99,1196.05,75000.0,18.19,685.0,17.0,69.6,32.0,C,OWN,debt_consolidation,Source Verified,6,0.4667,0.1914,0
8000.0,36.0,11.48,263.74,21610.0,31.06,705.0,9.0,48.4,10.0,B,RENT,credit_card,Verified,lt_1,0.3702,0.1465,0
3600.0,36.0,13.44,122.07,25000.0,26.45,710.0,23.0,30.7,39.0,C,RENT,debt_consolidation,Source Verified,1,0.144,0.0586,0
10500.0,36.0,13.99,358.82,110000.0,30.73,660.0,19.0,81.2,38.0,C,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.0955,0.0391,0
3000.0,36.0,11.48,98.9,105000.0,12.09,685.0,11.0,57.9,22.0,B,MORTGAGE,home_improvement,Verified,10_plus,0.0286,0.0113,0
16000.0,36.0,14.85,553.48,43000.0,17.11,675.0,13.0,51.2,16.0,C,RENT,credit_card,Source Verified,2,0.3721,0.1545,0
8000.0,36.0,7.49,248.82,57000.0,25.01,740.0,19.0,41.1,31.0,A,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.1404,0.0524,0
19500.0,36.0,7.49,606.49,85000.0,13.74,730.0,8.0,70.7,20.0,A,RENT,debt_consolidation,Not Verified,lt_1,0.2294,0.0856,0
2000.0,36.0,8.49,63.13,140000.0,6.78,845.0,7.0,6.8,16.0,B,MORTGAGE,other,Source Verified,8,0.0143,0.0054,0
16000.0,36.0,5.32,481.84,96000.0,14.45,725.0,23.0,29.8,38.0,A,MORTGAGE,debt_consolidation,Not Verified,8,0.1667,0.0602,0
3500.0,36.0,10.78,114.23,122400.0,17.97,660.0,16.0,58.6,30.0,B,MORTGAGE,vacation,Source Verified,8,0.0286,0.0112,0
24000.0,36.0,11.48,791.2,95000.0,26.89,675.0,9.0,102.0,12.0,B,OWN,debt_consolidation,Verified,3,0.2526,0.0999,0
6000.0,36.0,5.32,180.69,120000.0,3.98,780.0,14.0,19.4,21.0,A,OWN,credit_card,Not Verified,2,0.05,0.0181,0
24000.0,36.0,7.91,751.08,100000.0,26.83,675.0,21.0,56.4,39.0,A,MORTGAGE,debt_consolidation,Not Verified,9,0.24,0.0901,0
